mapid,name,category1,category2,address,short_description,url,geom,geo_local_area,longitude,latitude
GCP002,Southeast False Creek Neighbourhood Ener,City projects,Climate-Leadership,Not Specified,City's first neighbourhood energy system serving the Olympic Village and soon to be Great Northern Way areas.,http://vancouver.ca/home-property-development/neighbourhood-energy-utility.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.114480365604, 49.2671751297035], 'type': 'Point'}, 'properties': {}}",Mount Pleasant,-123.114480365604,49.2671751297035
GCP008,LEED Platinum Building Certified in 2010,City projects,Green-Buildings,51 W 1st AV,City of Vancouver Housing - Net Zero Building (SEFC Parcel 9),http://www.thechallengeseries.ca/chapter-07/net-zero/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1046728, 49.27020319], 'type': 'Point'}, 'properties': {}}",Mount Pleasant,-123.1046728,49.27020319
GCP019,LEED Gold for Commercial Interiors 2011,Private projects,Green-Buildings,507 W Broadway,City of Vancouver Engineering Services,http://edgesustainability.com/?portfolio=city-of-vancouver-engineering,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1154173, 49.26336597], 'type': 'Point'}, 'properties': {}}",Fairview,-123.1154173,49.26336597
GCP023,LEED Gold Building Certified 2010,Private projects,Green-Buildings,199 W 1st AV,SEFC Parcel 2 (Millennium Water / City of Vancouver Housing),http://www.millenniumdevelopment.com/Olympic-Village/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1018564, 49.27014774], 'type': 'Point'}, 'properties': {}}",Mount Pleasant,-123.1018564,49.27014774
GCP041,City Studio,City Studio Project,Lighter-Footprint,1800 Spyglass Place,A multi-disciplinary applied program for post-secondary students to work on Greenest City Action Plan projects,http://citystudiovancouver.com/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1153227, 49.27054701], 'type': 'Point'}, 'properties': {}}",Fairview,-123.1153227,49.27054701
GCP042,BikeLab,City Studio Project,Green-Transportation,1455 Quebec St,Spring 2013 City Studio Project - 1 of 2 bike repair stations.,http://citystudiovancouver.com/projects/bikelab-repair-stations/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1029187, 49.27327827], 'type': 'Point'}, 'properties': {}}",Downtown,-123.1029187,49.27327827
GCP048,Walking Local,City Studio Project,Local-Food,Grandview-Woodlands neighbourhood,Spring 2013 City Studio Project - Grandview-Woodland signage pilot project highlighting community landmarks.,http://citystudiovancouver.com/projects/walking-local/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0703196, 49.26919804], 'type': 'Point'}, 'properties': {}}",Grandview-Woodland,-123.0703196,49.26919804
GCP055,VanbirdCity,City Studio Project,Access-to-Nature,1800 Spyglass Pl,Spring 2012 City Studio Project - Education program  to increase awareness about the importance of birds in Vancouver,http://citystudiovancouver.com/projects/vancouver-bird-project/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1163102, 49.27022462], 'type': 'Point'}, 'properties': {}}",Fairview,-123.1163102,49.27022462
GCP058,Community Conversations,City Studio Project,Lighter-Footprint,Grandview-Woodlands neighbourhood,Spring 2012 City Studio Project - Community engagement mentorship program to research and promote dialogue within communities in support of the Access to Nature goal,http://citystudiovancouver.com/projects/community-conversations/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0703391, 49.26917757], 'type': 'Point'}, 'properties': {}}",Grandview-Woodland,-123.0703391,49.26917757
GCP062,Parks in Streets,City Studio Project,Access-to-Nature,1800 Spyglass Pl,Fall 2011 City Studio Project. Research on potential for temporary park places.,http://citystudiovancouver.com/projects/parks-in-streets/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1153285, 49.27051621], 'type': 'Point'}, 'properties': {}}",Fairview,-123.1153285,49.27051621
GCP070,Jericho Beach restoration,City projects,Access-to-Nature,Not Specified,"2012 restoration of the Jericho Marginal Wharf facility, restoring biodiversity and natural space.",http://vancouver.ca/parks-recreation-culture/restoring-jericho-beach.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.201779, 49.27672], 'type': 'Point'}, 'properties': {}}",West Point Grey,-123.201779,49.27672
GCP086,Community orchards,City projects,Local-Food,801 W 22nd Av,"At Douglas Park, 13 fruit and nut trees.",http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=175,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1225026, 49.25200582], 'type': 'Point'}, 'properties': {}}",South Cambie,-123.1225026,49.25200582
GCP092,Community orchards,City projects,Local-Food,3161 Ontario Street,"At Mt Pleasant Park, 10 fruit trees planted in 2012.",http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=139,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1053985, 49.25743743], 'type': 'Point'}, 'properties': {}}",Mount Pleasant,-123.1053985,49.25743743
GCP093,Community orchards,City projects,Local-Food,1025 Boundary Rd,"At Adanac Park, 8 fruit trees planted in 2011.",http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=65,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0236808, 49.27575349], 'type': 'Point'}, 'properties': {}}",Hastings-Sunrise,-123.0236808,49.27575349
GCP100,Copely Community Orchard,Private projects,Local-Food,3590 Copley St,A community orchard run by the Environmental Youth Alliance in its second season with 70 fruit trees.,http://www.copleycommunityorchard.com/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0574886, 49.25127347], 'type': 'Point'}, 'properties': {}}",Kensington-Cedar Cottage,-123.0574886,49.25127347
GCP109,Sole Food Farms - urban farms,Private projects,Local-Food,Carrall and Pacific,1 of 4 Sole Food Urban Farms producing local produce and providing jobs for people with barriers.,http://solefoodfarms.com/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1047819, 49.27663747], 'type': 'Point'}, 'properties': {}}",Downtown,-123.1047819,49.27663747
GCP113,Food Scraps Drop off at Farmers Markets,Private projects,Local-Food,4601 Ontario St,"Winter Farmers Market Saturdays, November 3, 2012 - April 27, 2013",http://foodscrapsdropspot.tumblr.com/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.106655998137, 49.2445840127076], 'type': 'Point'}, 'properties': {}}",Riley Park,-123.106655998137,49.2445840127076
